"","IGSN","dosimeter","irradiation","p-value"
"/home/pvermees/Documents/cherrypicking/geochron.org/10770.xlsx","EVA00001K","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10771.xlsx","EVA00001L","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10772.xlsx","EVA00001M","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10773.xlsx","EVA00001N","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10774.xlsx","EVA00001O","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10775.xlsx","EVA00001P","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10776.xlsx","EVA00001Q","IRMM 540","UC05a",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10777.xlsx","EVA00001R","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10778.xlsx","EVA00001S","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10779.xlsx","EVA00001T","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10780.xlsx","EVA00001U","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10781.xlsx","EVA00001R","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10782.xlsx","EVA00001W","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10783.xlsx","EVA00001X","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10784.xlsx","EVA00001Y","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10785.xlsx","EVA00001Z","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10786.xlsx","EVA000020","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10787.xlsx","EVA000021","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10788.xlsx","EVA000023","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10789.xlsx","EVA000025","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10790.xlsx","EVA000026","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10791.xlsx","EVA000027","IRMM541","UC04z",NA
"/home/pvermees/Documents/cherrypicking/geochron.org/10792.xlsx","EVA000022","IRMM541","UC04z",NA
